"","id","session","stresscond","stresslevel","group","order","date","warehouse_Time_to_eliminate_enemies_total","warehouse_Distance_rifle_moved_total","warehouse_Shots_fired_total","warehouse_Number_of_hits_total","warehouse_Number_of_misses_total","warehouse_Hits_per_shots_fired_total","warehouse_Misses_per_shots_fired_total","warehouse_Hits_on_enemies_total","warehouse_Hits_on_hostages_total","warehouse_Hits_on_enemies_per_shots_fired_total","warehouse_Hits_on_hostages_per_shots_fired_total","warehouse_Points_per_shots_fired_total","warehouse_Average_total_radial_error_of_all_chest_shots_fired_total","warehouse_Average_total_radial_error_of_all_head_shots_fired_total","warehouse_Standard_deviation_average_total_radial_error_per_chest_shots_fired_total","warehouse_Standard_deviation_average_total_radial_error_per_head_shots_fired_total","warehouse_Time_to_aim_at_avatars_total","warehouse_Time_until_action_taken_total","warehouse_Total_performance_score","warehouse_Total_performance_score_rep","warehouse_Total_performance_score_revtime","range_shots_fired","range_total_hits","range_total_points","range_total_radial_error","range_total_standard_deviation","range_total_time_to_aim","range_total_time_to_shoot","HR.baseline","HRV.baseline","HRConfidenceGT50.baseline","HR.warehouse","HRV.warehouse","HRConfidenceGT50.warehouse","meanscl_baseline","meanscl_warehouse","scrnsf_baseline","scrnsf_warehouse","scramp_baseline","scramp_warehouse","scrrise_baseline","scrrise_warehouse","scrrec_baseline","scrrec_warehouse","scronset_baseline","scronset_warehouse","STICSACOG_BL","STICSASOM_BL","STICSACOG_PT","STICSASOM_PT","STICSACOG_PW","STICSASOM_PW","sample_timing","aa_mean_time1","aa_mean_time2","aa_mean_time3","aa_mean_time4","cort_mean_time1","cort_mean_time2","cort_mean_time3","cort_mean_time4"
"43",22,1,"HS","High_Stress","Control",1,2018-06-28,748.933,483.0395,1225,195,989,0.1626298,0.8090164,186,9,0.1557093,0.007358953,53931.25,0.02089593,0.006617032,0.3074012,1.256116,957.63,105.3606,591,591.012653061224,12.1464912280702,40,14,335,269.5075,9630.376,127.3455,34.36853,78.6537037037037,NA,0.95,101.752941176471,55.2117647058824,0.972549019607843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,12,11,15,10,20,"intended",9.8,15.6,11.2,9.8,0.176,0.104,0.073,0.101
"44",22,2,"LS","Low_Stress","Control",1,2018-06-29,722.8504,370.0417,1055,197,829,0.1931818,0.785782,188,9,0.1859504,0.008806262,53650,0.02546821,0.005918366,0.9101148,0.7539816,949.8752,113.2156,568.5,568.450664136622,62.0965732087227,40,11,345,215.6207,5106.683,87.08492,26.94315,74.5642857142857,50.3333333333333,0.988095238095238,82.1228893058161,NA,0.377110694183865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,13,10,14,15,14,"intended",21,21.8,15.7,15.9,0.443,0.14,0.118,0.114
"45",23,1,"LS","Low_Stress","Control",2,2018-06-28,768.6288,396.1552,1037,181,820,0.1790307,0.791411,177,4,0.1750742,0.003984064,50425,0.03289912,0.007985993,1.071939,1.703825,969.0909,93.73139,713.5,713.312921890068,94.0717213114754,40,10,315,190.6535,3682.814,140.2189,14.40298,83.15,NA,0.935714285714286,137.656862745098,NA,0.00196078431372549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,11,16,21,NA,NA,"intended",115,86.6,48.7,NA,0.385,0.155,0.135,NA
"46",23,2,"HS","High_Stress","Control",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,14,405,276.3804,10223.83,163.867,26.61925,81.3428571428571,NA,1,90.9850877192982,57.9666666666667,0.763157894736842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,11,17,11,19,15,"intended",120.9,74.3,47.6,104.3,0.192,0.13,0.096,0.181
"47",24,1,"LS","Low_Stress","Reappraisal",2,2018-06-28,729.8799,433.2127,628,178,437,0.2843451,0.7048093,175,3,0.2795527,0.005008347,49493.75,0.02110364,0.01124923,0.11967,1.779292,921.84,141.0288,709.5,709.468899521531,147.488313856427,40,9,315,175.6736,2790.66,131.3183,29.51157,74.7785714285714,NA,1,90.8264705882353,48.3039215686275,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,14,14,14,12,15,"intended",187.8,341.4,259.3,176.5,0.168,0.257,0.229,0.185
"48",24,2,"HS","High_Stress","Reappraisal",2,2018-07-02,637.2947,353.5609,772,205,526,0.2715877,0.6818182,201,4,0.2674095,0.005376344,58146.88,0.06641288,0.006241441,6.037509,0.4048361,944.0618,103.8411,594.5,594.749674902471,225.006338028169,40,17,550,308.0135,16240.7,86.7266,35.05456,84.1854166666667,57.7979166666667,0.995833333333333,104.217647058824,NA,0.379411764705882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,11,12,13,13,18,"intended",192.9,231.7,112.2,97.6,0.345,0.383,0.293,0.244
"49",25,1,"LS","Low_Stress","Mindfulness",2,2018-07-02,717.1199,426.4365,629,207,393,0.3312,0.630363,202,5,0.3232,0.008025683,54971.88,0.02681115,0.006171609,0.3534924,0.3316211,929.496,133.3759,661,661.247960848287,164.509900990099,40,7,220,135.1428,1356.098,146.176,15.81575,80.7238095238095,93.4452380952381,0.652380952380952,105.121929824561,64.3263157894737,0.31140350877193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,18,22,13,21,18,"intended",80.7,91.8,127.8,126.1,0.61,0.399,0.261,0.189
"50",25,2,"HS","High_Stress","Mindfulness",2,2018-07-03,680.3319,382.1425,508,202,296,0.4060606,0.5826772,200,2,0.4020833,0.004089979,58118.75,0.1169772,0.00409609,9.05657,0.06585675,921.2331,141.4661,697.5,697.316568047337,256.110294117647,40,18,610,337.0975,19878.74,85.86037,13.75643,89.4708333333333,NA,0.358333333333333,106.53137254902,62.7049019607843,0.611764705882353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,12,17,15,18,20,"intended",120.2,131.2,288.6,138.1,0.246,0.479,0.348,0.275
"51",26,1,"HS","High_Stress","Control",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,1,15,19.05445,9.789188,474.2609,19.58242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,11,10,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",26,2,"LS","Low_Stress","Control",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",27,1,"HS","High_Stress","Mindfulness",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",27,2,"LS","Low_Stress","Mindfulness",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",28,1,"LS","Low_Stress","Mindfulness",2,2018-07-12,801.2823,551.8514,1084,7,1077,0.007056451,0.9949444,2,5,0.002016129,0.005112474,600,0,0.0001625737,0,0.00004179722,1060.727,2.274886,701.5,701.277008310249,-2,40,4,85,74.31291,273.1963,118.409,6.852278,55.7876923076923,NA,0.0553846153846154,64.4879032258064,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,14,19,19,23,26,"intended",72.8,73.1,66.3,100.2,0.643,0.367,0.354,0.315
"56",28,2,"HS","High_Stress","Mindfulness",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.138888888889,NA,0.0388888888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,21,23,24,33,39,"intended",158.3,45.9,184.7,169.2,0.489,0.533,0.48,0.446
"57",29,1,"HS","High_Stress","Reappraisal",1,2018-07-09,758.4326,421.959,1191,189,985,0.1604938,0.8284983,180,9,0.1534391,0.007646559,56790.63,0.01885157,0.00194926,0.2591749,0.02935937,961.6199,101.3724,602,601.841729638959,3.89048473967685,40,14,475,258.1644,9354.983,158.4772,38.96484,91.0582524271845,NA,0,104.016666666667,NA,0.205882352941176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,11,12,15,10,20,"intended",114.1,190.4,142.7,127.4,0.229,0.325,0.339,0.307
"58",29,2,"LS","Low_Stress","Reappraisal",1,2018-07-10,690.0195,373.273,899,188,693,0.2214022,0.772067,186,2,0.2201722,0.002232143,57728.13,0.02562203,0.004757274,0.3599881,0.2126198,966.6885,96.33234,687,687.118568232662,223.2141959799,40,16,510,301.2143,13833.94,102.5556,33.7232,120.12037037037,NA,0.00185185185185185,162.61862745098,NA,0.0264705882352941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,12,10,11,10,17,"intended",101.5,136,123.7,75.6,0.194,0.202,0.206,0.172
"59",30,1,"LS","Low_Stress","Control",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",30,2,"HS","High_Stress","Control",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",31,1,"HS","High_Stress","Mindfulness",1,2018-07-10,765.8619,439.1698,1085,168,891,0.1549816,0.8295238,158,10,0.1457565,0.009233611,44775,0.01413608,0.004679728,0.131475,0.4184777,979.3879,83.722,586.5,586.633640552995,-27.111217641419,40,10,230,189.4861,3661.625,39.89618,7.742688,84.3190476190476,NA,0.945238095238095,91.6176470588235,65.6519607843137,0.616666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,12,16,16,19,17,"intended",49.7,22,59.7,53.1,0.395,0.298,0.276,0.256
"62",31,2,"LS","Low_Stress","Mindfulness",1,2018-07-12,801.2214,242.193,1152,71,1077,0.06634146,0.9355962,66,5,0.06146342,0.004906771,21343.75,0.005088896,0.00243657,0.01306246,0.05379486,1016.448,46.57884,710.5,710.263888888889,7.54661432777233,NA,NA,NA,NA,NA,NA,NA,74.4761904761905,NA,0.012531328320802,115.44649122807,NA,0.0482456140350877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,15,15,11,18,19,"intended",76.4,128.6,131,77.1,0.505,0.38,0.338,0.294
"63",32,1,"LS","Low_Stress","Reappraisal",2,2018-07-11,797.0347,286.2273,873,122,734,0.1399083,0.8485207,117,5,0.1341743,0.005800464,37115.63,0.01649433,0.003187943,0.1790129,0.08070963,968.948,93.90717,718.5,718.257731958763,63.0907975460123,40,14,385,268.8146,9746.063,190.9039,33.13342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,14,11,11,10,11,"intended",19.8,28.9,16.1,21.2,0.154,0.176,0.169,0.226
"64",32,2,"HS","High_Stress","Reappraisal",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",33,1,"HS","High_Stress","Control",1,2018-07-11,801.1527,299.238,668,148,509,0.2331691,0.7639098,144,4,0.228243,0.006329114,43015.63,0.02837174,0.004017515,0.3419364,0.09878253,952.1105,110.8589,753,753.245877061469,71.7943615257048,40,18,480,351.7761,20841.44,179.6318,45.97145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,14,14,14,12,28,"intended",NA,NA,NA,NA,NA,NA,NA,NA
"66",33,2,"LS","Low_Stress","Control",1,2018-07-13,801.3262,276.2533,680,95,580,0.1414474,0.8566929,87,8,0.1299342,0.01234568,29581.25,0.01386942,0.004629992,0.04795842,0.1259943,996.5869,66.70507,663,662.750735294118,-20.1457286432161,40,16,575,314.6445,14736.01,72.94236,32.07996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,14,12,15,11,19,"intended",55.9,53.6,46.6,45.8,0.132,0.13,0.132,0.118
"67",34,1,"LS","Low_Stress","Mindfulness",2,2018-07-12,800.2413,222.4326,698,130,556,0.1984496,0.7965616,120,10,0.184375,0.01550388,35918.75,0.02079104,0.002264673,0.2097121,0.01665243,966.7632,96.31082,626,625.803879310345,-54.1133122028526,40,10,190,184.3547,3604.855,262.0586,24.53169,61.4725738396624,NA,0.559071729957806,81.4666666666667,NA,0.454901960784314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,18,16,19,13,20,"intended",126,221.7,194.8,172.7,0.159,0.168,0.143,0.147
"68",34,2,"HS","High_Stress","Mindfulness",2,2018-07-13,771.0715,194.1342,795,140,643,0.1825293,0.808805,129,11,0.1681877,0.01445466,42471.88,0.02432801,0.003460123,0.4308696,0.06172282,967.1958,95.83432,578,577.779319041614,-45.0106666666667,40,15,475,287.1925,12095.55,128.0595,16.23209,103.962222222222,NA,0.1,76.94,NA,0.445714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,13,18,17,13,27,"intended",51.7,69.4,35.1,37.4,0.192,0.104,0.091,0.095
"69",35,1,"HS","High_Stress","Reappraisal",1,2018-07-12,796.8957,326.1258,824,140,677,0.1778656,0.8216019,135,5,0.171278,0.006587615,41218.75,0.0784032,0.002114249,41.35136,0.02212391,960.1031,102.8434,722,722.011529126214,27.8109354413702,40,11,320,204.843,4726.857,103.2454,14.36639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,19,11,16,13,30,"intended",77.6,87.1,112.8,77.9,0.138,0.164,0.143,0.114
"70",35,2,"LS","Low_Stress","Reappraisal",1,2018-07-13,801.3046,152.5758,597,91,505,0.1630435,0.8458961,85,6,0.1521739,0.01104972,27209.38,0.01341736,0.00488099,0.04751419,0.1198193,969.7877,93.55044,704,703.78810720268,2.04143646408841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,11,9,11,13,19,"intended",87.7,100.2,68.1,65.9,0.161,0.155,0.174,0.165
"71",36,1,"HS","High_Stress","Mindfulness",1,2018-07-16,800.7542,392.0757,780,136,634,0.1801419,0.8149101,124,12,0.164539,0.01589404,41262.5,0.02708867,0.07350449,0.3750044,40.92936,969.4409,93.64629,587.5,587.45,-94.9379457917261,40,12,490,220.4025,5767.353,56.13172,20.20638,75.4805194805195,NA,0.391465677179963,101.313725490196,NA,0.227450980392157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,12,11,12,10,22,"intended",40.8,62.5,63.5,57.2,0.368,0.296,0.273,0.27
"72",36,2,"LS","Low_Stress","Mindfulness",1,2018-07-17,639.8376,416.0873,618,199,377,0.3471971,0.6100324,194,5,0.3381555,0.009124087,58771.88,0.05164113,0.02048609,1.395508,2.769926,945.4701,117.403,587.5,587.550161812298,197.79197080292,40,20,870,379.4947,26607.99,30.36345,20.31541,75.3095238095238,NA,0.719047619047619,83.7850834151129,NA,0.497546614327772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,17,10,12,10,16,"intended",39,45.3,61.5,53.1,0.425,0.379,0.377,0.313
"73",37,1,"LS","Low_Stress","Control",2,2018-07-16,801.2817,263.3665,524,58,465,0.1177686,0.8874046,48,10,0.09917355,0.02004008,15859.38,0.007197348,0.004358317,0.008763892,0.05836807,1008.898,54.1689,616,616.132633587786,-67.1297071129707,40,12,360,229.8843,6231.053,181.9221,60.92952,63.3047619047619,NA,0.611904761904762,94.9666666666667,56.0657407407407,0.630555555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,11,15,14,17,28,"intended",20.5,52.3,23.5,26.1,0.263,0.169,0.144,0.119
"74",37,2,"HS","High_Stress","Control",2,2018-07-17,801.2118,282.3855,412,123,286,0.3186813,0.6941748,121,2,0.3131868,0.005571031,39787.5,0.02792602,0.007379423,0.1389416,0.1996126,899.9206,162.8066,809.5,809.403892944039,109.044568245125,40,22,715,414.5236,35587.35,107.3026,38.51174,80.9291666666667,NA,0.747916666666667,98.8166666666667,49.7852941176471,0.850980392156863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,17,16,17,17,24,"intended",21,67.2,28.5,34.8,0.217,0.172,0.168,0.179
"75",38,1,"HS","High_Stress","Control",1,2018-07-17,797.2581,443.5092,709,160,540,0.2348367,0.7628571,142,18,0.2083981,0.0265625,41562.5,0.02282861,0.01315298,0.3414896,1.596056,935.0003,127.8516,466.5,466.351694915254,-208.98046875,43,31,1090,683.1403,106227,61.99519,40.51456,70.8142857142857,NA,0.869047619047619,117.034817813765,NA,0.483400809716599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,16,16,16,22,31,"intended",122.5,261.9,171.1,145,0.197,0.197,0.168,0.115
"76",38,2,"LS","Low_Stress","Control",1,2018-07-18,722.4318,395.2262,926,199,696,0.2157722,0.7562077,190,9,0.2059146,0.00990099,55018.75,0.02117101,0.00701743,0.3120296,0.5018936,952.7327,110.2484,571.5,571.70788336933,45.2013574660633,40,18,565,326.0624,19005.26,87.4476,23.62351,81.2479166666667,NA,0.339583333333333,83.0066666666667,81.9191666666667,0.494166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,14,18,14,15,17,"intended",188.6,117.8,64.1,100.5,0.138,0.144,0.124,0.127
"77",39,1,"LS","Low_Stress","Mindfulness",2,2018-07-18,763.4909,230.0173,982,189,764,0.1935146,0.7824709,178,11,0.1835165,0.01150628,51728.13,0.0169456,0.007574791,0.1595467,1.190578,949.7545,109.2501,575,575.207708779443,-22.733995584989,41,32,1125,698.8111,119574.8,65.56763,45.60567,75.5166666666667,NA,0.835714285714286,104.288235294118,71.2235294117647,0.592156862745098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,14,15,12,10,18,"intended",9.2,87.1,61.5,NA,0.533,0.489,0.455,NA
"78",39,2,"HS","High_Stress","Mindfulness",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.8083333333333,NA,0.977083333333333,89.9598039215686,89.4509803921569,0.683333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,17,10,14,16,19,"intended",36.4,155.6,55.3,29.2,0.566,0.441,0.406,0.438
"79",40,1,"LS","Low_Stress","Reappraisal",2,2018-07-23,723.9044,603.98,988,124,822,0.1275934,0.8386042,123,1,0.126556,0.00110011,38500,0.02168974,0.001870789,0.6001164,0.0137026,1002.608,60.04924,723.5,723.483805668016,174.031903190319,41,7,220,137.3974,1365.86,66.27702,14.50449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,14,13,11,12,12,"intended",74,76.1,59.9,63.1,0.115,0.094,0.087,0.091
"80",40,2,"HS","High_Stress","Reappraisal",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"intended",NA,NA,NA,NA,NA,NA,NA,NA
"81",41,1,"HS","High_Stress","Reappraisal",1,2018-07-24,690.7189,361.8952,424,217,193,0.53562,0.4593301,209,8,0.5145119,0.02133333,55712.5,0.152932,0.006344014,54.15755,0.1247452,881.3986,181.1002,597,596.831753554502,117.066666666667,40,28,880,559.9986,70950.13,94.40254,44.05118,80.8042959427208,NA,0.0334128878281623,88.8872549019608,61.8294117647059,0.646078431372549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,13,26,11,25,16,"intended",174.5,235.2,224.4,215.8,0.38,0.254,0.26,0.34
"82",41,2,"LS","Low_Stress","Reappraisal",1,2018-07-25,696.8672,352.3981,327,188,133,0.5768025,0.414791,181,7,0.5566038,0.02194357,56862.5,0.07457345,0.005309657,1.034917,0.06243779,853.0121,209.8915,644,643.94495412844,188.448220064725,40,22,815,417.002,35660.11,94.55528,31.52794,82.3071428571429,NA,0.426190476190476,89.4029411764706,NA,0.418627450980392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,12,23,11,25,15,"intended",138.3,126.4,108.4,99.2,0.224,0.277,0.28,0.237
"83",42,1,"LS","Low_Stress","Control",2,2018-07-24,768.1456,387.7246,855,164,657,0.1961538,0.7725061,158,6,0.1884615,0.007751938,47950,0.02280427,0.006781918,0.2928644,0.7357162,952.2577,110.724,676,676.040935672515,39.9728682170543,40,19,560,368.314,23842.24,82.38659,33.39858,80.0612244897959,NA,0,79.0990990990991,88.4194194194194,0.84984984984985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,11,19,16,17,26,"intended",109.7,146.1,102.5,108.4,0.314,0.186,0.194,0.141
"84",42,2,"HS","High_Stress","Control",2,2018-07-26,801.1892,305.0591,1369,148,1199,0.1133231,0.8758218,146,2,0.111816,0.00155642,42700,0.01135592,0.005397338,0.08005369,0.8516806,982.1396,80.7312,776.5,776.595325054785,94.1231884057971,42,9,235,174.9487,2786.35,68.83728,11.88031,83.28125,NA,0.795833333333333,87.706862745098,NA,0.786274509803922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,12,23,19,29,36,"intended",78.4,101.5,83.5,89.1,0.195,0.145,0.116,0.114
"85",43,1,"HS","High_Stress","Mindfulness",1,2018-07-24,781.9529,307.0007,462,132,309,0.2926829,0.6803653,125,7,0.2804878,0.015625,38271.88,0.04258681,0.008699491,1.013493,0.4536496,895.3159,162.5471,699,698.763636363636,74.4717444717445,40,14,535,270.142,9770.598,195.1438,29.91545,96.759900990099,NA,0.138613861386139,54.8286755771567,NA,0.117861482381531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,14,11,14,24,"intended",3.1,6.7,4.8,5.2,0.151,0.167,0.167,0.154
"86",43,2,"LS","Low_Stress","Mindfulness",1,2018-07-26,747.0126,294.669,546,173,342,0.3174312,0.631478,167,6,0.306422,0.01104972,50921.88,0.03991486,0.007928758,0.5237037,0.5061183,902.0451,161.0459,673.5,673.631868131868,97.5980769230769,40,11,370,212.2241,4859.615,170.4567,20.31933,85.90625,46,1,95.8660098522167,NA,0.0118226600985222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,11,12,11,11,17,"intended",3.8,4.6,4.1,4.3,0.239,0.138,0.122,0.095
"87",44,1,"HS","High_Stress","Control",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",44,2,"LS","Low_Stress","Control",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",45,1,"LS","Low_Stress","Reappraisal",2,2018-07-25,719.9796,403.6855,658,195,439,0.2978395,0.672,186,9,0.2848101,0.01393189,53012.5,0.03387257,0.01442552,0.7434226,4.288778,937.4839,125.4774,580.5,580.282674772036,58.8733974358974,41,28,870,507.3854,69216.45,42.09993,38.97197,87.7071428571429,NA,0.592857142857143,116.604901960784,34.1117647058824,0.880392156862745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,14,14,12,13,11,"intended",139.1,141.9,103.6,69.5,0.32,0.211,0.236,0.168
"90",45,2,"HS","High_Stress","Reappraisal",2,2018-07-26,712.9484,361.7368,555,190,349,0.3460838,0.6316794,185,5,0.3369763,0.009242144,52975,0.02754382,0.01920977,0.2178591,5.988735,919.7853,143.2774,660.5,660.725225225225,153.347036328872,40,26,725,481.2181,56890.89,36.85838,31.06602,89.2604166666667,NA,1,72.0627306273063,NA,0.249077490774908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,11,13,11,13,11,"intended",164.3,198.3,81,74.1,0.189,0.296,0.224,0.208
