Participant,Angle,DesiredResponse,RT
sub1,0,Different,1909.75
sub1,0,Same,1114.5
sub1,50,Different,2094.273
sub1,50,Same,1833.111
sub1,100,Different,2537.727
sub1,100,Same,3056.778
sub1,150,Different,2950.273
sub1,150,Same,2910.1
sub10,0,Different,2598.25
sub10,0,Same,1280.417
sub10,50,Different,3219.25
sub10,50,Same,2809.333
sub10,100,Different,4694.364
sub10,100,Same,4823.833
sub10,150,Different,3613.625
sub10,150,Same,4429.6
sub11,0,Different,2087.083
sub11,0,Same,1529.75
sub11,50,Different,2615.083
sub11,50,Same,2762.167
sub11,100,Different,3917
sub11,100,Same,3757.818
sub11,150,Different,3819.5
sub11,150,Same,4920.286
sub12,0,Different,1893.1
sub12,0,Same,1248.417
sub12,50,Different,1773.833
sub12,50,Same,1970
sub12,100,Different,2215.3
sub12,100,Same,2867.75
sub12,150,Different,2791.1
sub12,150,Same,2538.857
sub13,0,Different,985
sub13,0,Same,856
sub13,50,Different,1149.909
sub13,50,Same,1239.167
sub13,100,Different,1738
sub13,100,Same,1570.667
sub13,150,Different,2193.182
sub13,150,Same,1822.5
sub14,0,Different,1371.75
sub14,0,Same,1122.667
sub14,50,Different,1496.25
sub14,50,Same,1551
sub14,100,Different,1845.3
sub14,100,Same,1836.455
sub14,150,Different,1720.455
sub14,150,Same,1789.818
sub15,0,Different,2457.667
sub15,0,Same,1339.917
sub15,50,Different,1741.6
sub15,50,Same,2072.167
sub15,100,Different,2854
sub15,100,Same,2513
sub15,150,Different,2819.1
sub15,150,Same,2952.273
sub16,0,Different,2160.417
sub16,0,Same,1944.833
sub16,50,Different,2495.909
sub16,50,Same,2469.364
sub16,100,Different,2835
sub16,100,Same,3615.182
sub16,150,Different,3057.909
sub16,150,Same,3606.083
sub17,0,Different,1633
sub17,0,Same,1572.909
sub17,50,Different,1777.818
sub17,50,Same,2373.667
sub17,100,Different,2709.818
sub17,100,Same,3077.727
sub17,150,Different,2521
sub17,150,Same,4270.5
sub18,0,Different,3870.4
sub18,0,Same,1890.333
sub18,50,Different,4150.9
sub18,50,Same,3602.182
sub18,100,Different,4351
sub18,100,Same,5232.167
sub18,150,Different,4650.833
sub18,150,Same,5104.889
sub19,0,Different,4983.182
sub19,0,Same,2229.167
sub19,50,Different,5422.857
sub19,50,Same,4218.9
sub19,100,Different,5114.571
sub19,100,Same,4746.375
sub19,150,Different,4346.455
sub19,150,Same,5164.25
sub2,0,Different,1525.25
sub2,0,Same,976.833
sub2,50,Different,2093.273
sub2,50,Same,1492
sub2,100,Different,2373.5
sub2,100,Same,2171.818
sub2,150,Different,3256.6
sub2,150,Same,2475.364
sub20,0,Different,1372.545
sub20,0,Same,1396.25
sub20,50,Different,2021.833
sub20,50,Same,2053.5
sub20,100,Different,2581.818
sub20,100,Same,2398.091
sub20,150,Different,2773.2
sub20,150,Same,2883.364
sub21,0,Different,1433.727
sub21,0,Same,1045.583
sub21,50,Different,1329.3
sub21,50,Same,1812.667
sub21,100,Different,2317.75
sub21,100,Same,1447.75
sub21,150,Different,1640.8
sub21,150,Same,1724.444
sub22,0,Different,3095.545
sub22,0,Same,1688.083
sub22,50,Different,4323.833
sub22,50,Same,3001
sub22,100,Different,4385.273
sub22,100,Same,3796.273
sub22,150,Different,4665.8
sub22,150,Same,4578
sub23,0,Different,2004.455
sub23,0,Same,1149.667
sub23,50,Different,1836.4
sub23,50,Same,1955.111
sub23,100,Different,2338.545
sub23,100,Same,2435.5
sub23,150,Different,2439.455
sub23,150,Same,2554.889
sub24,0,Different,2097
sub24,0,Same,1507.667
sub24,50,Different,2094.182
sub24,50,Same,2316.556
sub24,100,Different,2758.9
sub24,100,Same,2673.727
sub24,150,Different,4054.222
sub24,150,Same,2962.4
sub25,0,Different,1436.889
sub25,0,Same,1002.333
sub25,50,Different,1418.25
sub25,50,Same,1398.091
sub25,100,Different,2100.182
sub25,100,Same,2296.625
sub25,150,Different,2122.556
sub25,150,Same,1933.857
sub26,0,Different,1822.455
sub26,0,Same,1232.417
sub26,50,Different,2042.083
sub26,50,Same,1778.833
sub26,100,Different,2710.583
sub26,100,Same,2360.3
sub26,150,Different,2229.1
sub26,150,Same,3563.917
sub27,0,Different,1955.7
sub27,0,Same,2003.917
sub27,50,Different,2661
sub27,50,Same,2507.8
sub27,100,Different,2693.143
sub27,100,Same,2616.545
sub27,150,Different,3145.6
sub27,150,Same,2812.571
sub28,0,Different,2168.833
sub28,0,Same,1191.083
sub28,50,Different,2209.364
sub28,50,Same,2445.909
sub28,100,Different,2872.333
sub28,100,Same,2972.364
sub28,150,Different,3073.2
sub28,150,Same,2762.818
sub29,0,Different,3195
sub29,0,Same,1413.636
sub29,50,Different,2451.2
sub29,50,Same,2672.333
sub29,100,Different,3116.5
sub29,100,Same,3760.556
sub29,150,Different,3702.182
sub29,150,Same,2776.2
sub3,0,Different,2297.2
sub3,0,Same,1181.417
sub3,50,Different,1943
sub3,50,Same,1781.75
sub3,100,Different,2543.9
sub3,100,Same,2537.222
sub3,150,Different,2573.091
sub3,150,Same,2493.375
sub30,0,Different,2624.091
sub30,0,Same,1411.583
sub30,50,Different,3105.333
sub30,50,Same,2144.273
sub30,100,Different,4634.7
sub30,100,Same,3457.667
sub30,150,Different,4726.727
sub30,150,Same,4000.125
sub31,0,Different,2694.833
sub31,0,Same,1283.75
sub31,50,Different,2293.5
sub31,50,Same,3614.182
sub31,100,Different,4504.2
sub31,100,Same,4041.25
sub31,150,Different,4530.875
sub31,150,Same,4775
sub32,0,Different,3132.167
sub32,0,Same,1340.25
sub32,50,Different,2863.636
sub32,50,Same,1798.364
sub32,100,Different,3155.909
sub32,100,Same,2757.333
sub32,150,Different,3055.818
sub32,150,Same,2575.1
sub33,0,Different,1640
sub33,0,Same,1298.417
sub33,50,Different,2099
sub33,50,Same,1655.2
sub33,100,Different,1909.2
sub33,100,Same,1933.889
sub33,150,Different,3074.3
sub33,150,Same,2252.364
sub34,0,Different,2367.909
sub34,0,Same,1737.25
sub34,50,Different,3098.75
sub34,50,Same,2929.25
sub34,100,Different,4216.083
sub34,100,Same,2907.9
sub34,150,Different,3539.2
sub34,150,Same,4220.182
sub35,0,Different,2647.667
sub35,0,Same,1544.5
sub35,50,Different,3395.75
sub35,50,Same,2686.417
sub35,100,Different,3260.909
sub35,100,Same,3312
sub35,150,Different,3500
sub35,150,Same,3520.4
sub36,0,Different,1918.25
sub36,0,Same,1221.833
sub36,50,Different,1969
sub36,50,Same,2085.8
sub36,100,Different,2779.75
sub36,100,Same,2733.167
sub36,150,Different,2800.6
sub36,150,Same,3625.455
sub37,0,Different,1976.25
sub37,0,Same,1478.917
sub37,50,Different,2470.75
sub37,50,Same,2630.4
sub37,100,Different,2664.333
sub37,100,Same,2420.8
sub37,150,Different,2800.818
sub37,150,Same,2936
sub38,0,Different,3264.5
sub38,0,Same,1502.083
sub38,50,Different,3416.583
sub38,50,Same,2852.083
sub38,100,Different,4336.583
sub38,100,Same,3544.6
sub38,150,Different,3900.2
sub38,150,Same,3881.8
sub39,0,Different,2418.636
sub39,0,Same,1787.083
sub39,50,Different,2650.545
sub39,50,Same,2517.875
sub39,100,Different,3037
sub39,100,Same,2578.7
sub39,150,Different,2721.8
sub39,150,Same,3551.667
sub4,0,Different,1784.583
sub4,0,Same,1216.583
sub4,50,Different,2011.545
sub4,50,Same,2051.583
sub4,100,Different,2585.833
sub4,100,Same,1902.182
sub4,150,Different,2513.818
sub4,150,Same,2192.364
sub40,0,Different,2414.583
sub40,0,Same,1810.917
sub40,50,Different,3101.833
sub40,50,Same,2929.364
sub40,100,Different,2960.636
sub40,100,Same,3733.182
sub40,150,Different,3961.667
sub40,150,Same,4078.714
sub41,0,Different,1640.667
sub41,0,Same,1409
sub41,50,Different,1918.083
sub41,50,Same,2800.833
sub41,100,Different,2784.455
sub41,100,Same,2956.727
sub41,150,Different,2918.25
sub41,150,Same,4682.375
sub42,0,Different,2322.583
sub42,0,Same,2054.333
sub42,50,Different,1892.917
sub42,50,Same,1997.7
sub42,100,Different,2886.727
sub42,100,Same,2954.636
sub42,150,Different,3186.583
sub42,150,Same,3579.3
sub43,0,Different,1677.833
sub43,0,Same,2033.333
sub43,50,Different,2597.091
sub43,50,Same,3079.9
sub43,100,Different,3058.286
sub43,100,Same,3917
sub43,150,Different,4009.222
sub43,150,Same,4062.667
sub44,0,Different,3089.2
sub44,0,Same,3203.167
sub44,50,Different,4643.545
sub44,50,Same,4221
sub44,100,Different,5336.182
sub44,100,Same,4585.667
sub44,150,Different,6050.167
sub44,150,Same,4304.8
sub45,0,Different,2553.25
sub45,0,Same,1243.333
sub45,50,Different,2446
sub45,50,Same,2773.25
sub45,100,Different,4370.5
sub45,100,Same,4213.545
sub45,150,Different,3384.222
sub45,150,Same,4743.444
sub46,0,Different,3707
sub46,0,Same,1492.5
sub46,50,Different,4227.182
sub46,50,Same,3450.5
sub46,100,Different,4398.1
sub46,100,Same,3460.5
sub46,150,Different,4205.6
sub46,150,Same,4018.545
sub47,0,Different,1978.545
sub47,0,Same,1483.75
sub47,50,Different,2038.5
sub47,50,Same,2976.5
sub47,100,Different,3585.5
sub47,100,Same,3325.333
sub47,150,Different,3865.6
sub47,150,Same,3304.222
sub48,0,Different,2018.25
sub48,0,Same,1077.417
sub48,50,Different,2128
sub48,50,Same,2726.889
sub48,100,Different,3089
sub48,100,Same,3251.091
sub48,150,Different,3517.667
sub48,150,Same,2934.9
sub49,0,Different,2396.25
sub49,0,Same,1609.833
sub49,50,Different,2465.667
sub49,50,Same,2353.083
sub49,100,Different,3033.667
sub49,100,Same,2667.5
sub49,150,Different,3530
sub49,150,Same,3213.167
sub5,0,Different,2909.273
sub5,0,Same,1423.25
sub5,50,Different,3688
sub5,50,Same,1534.583
sub5,100,Different,2653.444
sub5,100,Same,2490.25
sub5,150,Different,2860.909
sub5,150,Same,2454.75
sub50,0,Different,3101
sub50,0,Same,2242.091
sub50,50,Different,3326.545
sub50,50,Same,2787.917
sub50,100,Different,3619.667
sub50,100,Same,3397.083
sub50,150,Different,3523.364
sub50,150,Same,2801.8
sub51,0,Different,1493.286
sub51,0,Same,1415.5
sub51,50,Different,2151.25
sub51,50,Same,1966
sub51,100,Different,2198.6
sub51,100,Same,2952.143
sub51,150,Different,2758.182
sub51,150,Same,2031.571
sub52,0,Different,3200.6
sub52,0,Same,4387.75
sub52,50,Different,2944.6
sub52,50,Same,3061.909
sub52,100,Different,3859.091
sub52,100,Same,3200.545
sub52,150,Different,3355.545
sub52,150,Same,3714.667
sub53,0,Different,4153.545
sub53,0,Same,2300.091
sub53,50,Different,3586.556
sub53,50,Same,4448.25
sub53,100,Different,3886.6
sub53,100,Same,4933.818
sub53,150,Different,4168.364
sub53,150,Same,4529.857
sub54,0,Different,3177.889
sub54,0,Same,1640.333
sub54,50,Different,3248
sub54,50,Same,2516.75
sub54,100,Different,4047.1
sub54,100,Same,2904.5
sub54,150,Different,3755.111
sub54,150,Same,3411.364
sub6,0,Different,1497
sub6,0,Same,1133.833
sub6,50,Different,1478.583
sub6,50,Same,1265.091
sub6,100,Different,1556.545
sub6,100,Same,1560
sub6,150,Different,1687.333
sub6,150,Same,2066.909
sub7,0,Different,2330.818
sub7,0,Same,1752.917
sub7,50,Different,3240.667
sub7,50,Same,2637.727
sub7,100,Different,3153.667
sub7,100,Same,2632.25
sub7,150,Different,2837
sub7,150,Same,3335.273
sub8,0,Different,1696.455
sub8,0,Same,1230.167
sub8,50,Different,1939
sub8,50,Same,1709.25
sub8,100,Different,3026.5
sub8,100,Same,2631.583
sub8,150,Different,2728
sub8,150,Same,2829.273
sub9,0,Different,2293.5
sub9,0,Same,1730.75
sub9,50,Different,2480.417
sub9,50,Same,2570.182
sub9,100,Different,2966.455
sub9,100,Same,2926
sub9,150,Different,3379.273
sub9,150,Same,3728.6
